year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,1995,1,0.0,0.5317171893758893,0.5736715761632435,0.5151265904516954,0.47870051166464705
2030,1995,2,0.0,0.5291410085214422,0.569120815913625,0.5038671524576814,0.47870051166464705
2030,1995,3,0.0,0.6053624768635261,0.5603514605563216,0.49160692244432597,0.47870051166464705
2030,1995,4,0.0,0.7743492385756131,0.5625199808298263,0.4759864957992497,0.47870051166464705
2030,1995,5,0.0,0.8525727607491703,0.571966784161241,0.4622504980607008,0.47870051166464705
2030,1995,6,0.0,0.8889003549171461,0.5904238485478785,0.44429093616189985,0.47870051166464705
2030,1995,7,0.0,0.8986566583517269,0.5991005195549672,0.43799001399928317,0.47870051166464705
2030,1995,8,0.0,0.8890426844725388,0.6031722687549151,0.4538939950523425,0.47870051166464705
2030,1995,9,0.01382766341159224,0.8656821538198566,0.6021320709057576,0.48380094683661995,0.47870051166464705
2030,1995,10,0.08905596660813539,0.8276675127754133,0.5978063939817012,0.5149004800960253,0.47870051166464705
2030,1995,11,0.1773750047892656,0.6908798895693975,0.5893882640716903,0.5320650746860737,0.47870051166464705
2030,1995,12,0.256918297477031,0.5641302576475902,0.615775450819553,0.5367895052150372,0.47870051166464705
2030,1995,13,0.3103335756327097,0.4805513591212729,0.6304666521540201,0.5412852137024167,0.47870051166464705
2030,1995,14,0.3298830657828383,0.4537015837298011,0.6366133593046689,0.5424010106439311,0.47870051166464705
2030,1995,15,0.3137594399382346,0.4403833943273247,0.6356194765409955,0.5320237211725637,0.47870051166464705
2030,1995,16,0.2419338916159623,0.4157130426886097,0.630189700397199,0.5231909380393946,0.47870051166464705
2030,1995,17,0.1201084836925939,0.3762571706262186,0.5849874970188389,0.5252850122125937,0.47870051166464705
2030,1995,18,0.0,0.3382110795976149,0.5530603183876021,0.5452143798393583,0.47870051166464705
2030,1995,19,0.0,0.3177333846714688,0.5223125177839508,0.5689482637780541,0.47870051166464705
2030,1995,20,0.0,0.2871942890619563,0.4841631250874108,0.5835719583900543,0.47870051166464705
2030,1995,21,0.0,0.2570764044728909,0.4605283451715035,0.5945137721750986,0.47870051166464705
2030,1995,22,0.0,0.2113846540639064,0.438054883499315,0.5857871335519258,0.47870051166464705
2030,1995,23,0.0,0.1360548238902929,0.4484730689812945,0.5563522845523866,0.47870051166464705
2030,1995,24,0.0,0.1126469509071945,0.4436092456178503,0.5475615684904276,0.47870051166464705
2030,1995,25,0.0,0.1077359026239443,0.4323327936401253,0.5433218282496076,0.47870051166464705
2030,1995,26,0.0,0.1031058328163258,0.4230063211013467,0.5253426442479913,0.47870051166464705
2030,1995,27,0.0,0.09379093994790956,0.4139807025999672,0.5103832101851327,0.47870051166464705
2030,1995,28,0.0,0.08198851120796258,0.4095178487842739,0.495278457763619,0.47870051166464705
2030,1995,29,0.0,0.06197799618220031,0.3971118697429173,0.48895061972497,0.47870051166464705
2030,1995,30,0.0,0.04816394399168214,0.3860459434977923,0.48809975922087695,0.47870051166464705
2030,1995,31,0.0,0.05119346131009096,0.3792446170535821,0.503473871588805,0.47870051166464705
2030,1995,32,0.0,0.03963011142633598,0.3759881104995322,0.5385629270459605,0.47870051166464705
2030,1995,33,0.06878989676764925,0.02122893088088228,0.3720193452532881,0.5799930276650453,0.47870051166464705
2030,1995,34,0.2738007075149722,0.01225848337137743,0.3537803981242589,0.6146600038800982,0.47870051166464705
2030,1995,35,0.4425129731775078,0.02253154547275671,0.3227521260600085,0.6308204393217338,0.47870051166464705
2030,1995,36,0.5586667924986495,0.02190417344604687,0.3550960283028572,0.6343420003867409,0.47870051166464705
2030,1995,37,0.613054575381893,0.001155665747049465,0.363811175372554,0.633514627040202,0.47870051166464705
2030,1995,38,0.600709125052127,0.0,0.365577321548597,0.6256406177816298,0.47870051166464705
2030,1995,39,0.5175221912216942,0.0,0.3671201283353671,0.608605225652875,0.47870051166464705
2030,1995,40,0.3783681052099979,0.0004564956227731731,0.3750745123598872,0.5972857443511262,0.47870051166464705
2030,1995,41,0.1920674642074664,0.004104232417513121,0.3566218910359708,0.5965879105670765,0.47870051166464705
2030,1995,42,0.0,0.006834691880714087,0.3688907857563188,0.6132851671150586,0.47870051166464705
2030,1995,43,0.0,0.008961486840754995,0.3858658107927846,0.6396894215688671,0.47870051166464705
2030,1995,44,0.0,0.0168314706836188,0.3760401855216304,0.6625368539527572,0.47870051166464705
2030,1995,45,0.0,0.03390613821705886,0.3410963853142928,0.6711957220115888,0.47870051166464705
2030,1995,46,0.0,0.05160499171660592,0.2895466251981837,0.6470733274888435,0.47870051166464705
2030,1995,47,0.0,0.07391111871778057,0.2611898245088303,0.6018938824034312,0.47870051166464705
2030,1995,48,0.0,0.06950093369322308,0.247516577889389,0.5806473199995938,0.47870051166464705
2030,1995,49,0.0,0.08360730158686183,0.232126728772861,0.5391445509170403,0.47870051166464705
2030,1995,50,0.0,0.1083672334851733,0.2068507248945427,0.5200719593278126,0.47870051166464705
2030,1995,51,0.0,0.1049058794995265,0.1859496980921735,0.5043584974697571,0.47870051166464705
2030,1995,52,0.0,0.08380108955706575,0.1765419899412253,0.48849556924857823,0.47870051166464705
2030,1995,53,0.0,0.07160520811868441,0.1712263351496408,0.4809466621649369,0.47870051166464705
2030,1995,54,0.0,0.05876073194385154,0.1685113244311749,0.47834316737818056,0.47870051166464705
2030,1995,55,0.0,0.08229549184260469,0.1638414806271341,0.49277062548971684,0.47870051166464705
2030,1995,56,0.0,0.1131332116601888,0.1588826314845911,0.5277867333450006,0.47870051166464705
