id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
63,AT_electrolyzer,AT_H_Demand,2050,1,1.0,1.0,9,12,5.730593607
64,AT_electrolyzer,AT_H_Demand,2050,1,1.0,1.0,13,16,5.730593607
65,AT_electrolyzer,AT_H_Demand,2050,1,1.0,1.0,17,20,5.730593607
66,AT_electrolyzer,AT_H_Demand,2050,1,1.0,1.0,21,24,5.730593607
67,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,1,1,0.5005473620756087
68,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,2,2,0.0
69,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,3,3,0.004001730825105021
70,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,4,4,0.0
71,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,5,5,0.0
72,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,6,6,0.555812751097871
73,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,7,7,0.0
74,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,8,8,0.4418206738293975
75,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,9,9,0.0
76,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,10,10,0.09858623158814339
77,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,11,11,0.08964210741156009
78,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,12,12,0.0
79,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,13,13,0.174594769525811
80,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,14,14,0.0
81,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,15,15,0.06961359525694988
82,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,16,16,0.0
83,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,17,17,0.0
84,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,18,18,0.0
85,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,19,19,0.34502890956586896
86,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,20,20,0.0
87,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,21,21,0.0
88,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,22,22,0.0
89,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,23,23,1.0262831752597483
90,BE_Battery,BE_E_Demand,2050,1,1.0,1.0,24,24,0.0
91,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,1,2,11.11872146
92,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,3,4,11.11872146
93,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,5,6,11.11872146
94,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,7,8,11.11872146
95,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,9,10,11.11872146
96,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,11,12,11.11872146
97,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,13,14,11.11872146
98,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,15,16,11.11872146
99,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,17,18,11.11872146
100,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,19,20,11.11872146
101,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,21,22,11.11872146
102,BE_E_Demand,BE_electrolyzer,2050,1,1.0,1.0,23,24,11.11872146
103,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,1,2,0.0
104,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,3,4,0.0
105,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,5,6,0.0
106,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,7,8,0.0
107,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,9,10,0.0
108,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,11,12,0.0
109,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,13,14,0.0
110,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,15,16,0.0
111,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,17,18,0.0
112,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,19,20,0.0
113,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,21,22,0.0
114,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,23,24,0.0
115,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,1,2,0.0
116,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,3,4,0.0
117,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,5,6,0.0
118,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,7,8,0.0
119,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,9,10,0.0
120,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,11,12,0.0
121,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,13,14,0.0
122,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,15,16,0.0
123,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,17,18,0.0
124,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,19,20,0.0
125,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,21,22,0.0
126,BE_Gas,BE_E_Demand,2050,1,1.0,1.0,23,24,0.0
127,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,1,2,0.048813179088113196
128,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,3,4,0.048813179088113196
129,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,5,6,0.048813179088113196
130,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,7,8,0.048813179088113196
131,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,9,10,0.048813179088113196
132,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,11,12,0.048813179088113196
133,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,13,14,0.0
134,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,15,16,0.0
135,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,17,18,0.048813179088113196
136,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,19,20,0.048813179088113196
137,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,21,22,0.048813179088113196
138,BE_Hydro,BE_E_Demand,2050,1,1.0,1.0,23,24,0.048813179088113196
139,BE_OCGT,BE_E_Demand,2050,1,1.0,1.0,1,2,0.0
140,BE_OCGT,BE_E_Demand,2050,1,1.0,1.0,3,4,0.0
141,BE_OCGT,BE_E_Demand,2050,1,1.0,1.0,5,6,0.0
142,BE_OCGT,BE_E_Demand,2050,1,1.0,1.0,7,8,0.0
143,BE_OCGT,BE_E_Demand,2050,1,1.0,1.0,9,10,0.0
