scenario,probability
1995,0.03333333333333333
1996,0.03333333333333333
1997,0.03333333333333333
1998,0.03333333333333333
1999,0.03333333333333333
2000,0.03333333333333333
2001,0.03333333333333333
2002,0.03333333333333333
2003,0.03333333333333333
2004,0.03333333333333333
2005,0.03333333333333333
2006,0.03333333333333333
2007,0.03333333333333333
2008,0.03333333333333333
2009,0.03333333333333333
2010,0.03333333333333333
2011,0.03333333333333333
2012,0.03333333333333333
2013,0.03333333333333333
2014,0.03333333333333333
2015,0.03333333333333333
2016,0.03333333333333333
2017,0.03333333333333333
2018,0.03333333333333333
2019,0.03333333333333333
2020,0.03333333333333333
2021,0.03333333333333333
2022,0.03333333333333333
2023,0.03333333333333333
2024,0.03333333333333333
