id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
103,AT_Solar,2050,3,1,4,-1.3642420526593924e-12
104,AT_Solar,2050,3,5,8,-0.0
105,AT_Solar,2050,3,9,12,-0.0
106,AT_Solar,2050,3,13,16,-0.0
107,AT_Solar,2050,3,17,20,9.86233317235019e-12
108,AT_Solar,2050,3,21,24,0.0
109,AT_electrolyzer,2050,1,1,4,0.0
110,AT_electrolyzer,2050,1,5,8,0.0
111,AT_electrolyzer,2050,1,9,12,0.0
112,AT_electrolyzer,2050,1,13,16,0.0
113,AT_electrolyzer,2050,1,17,20,0.0
114,AT_electrolyzer,2050,1,21,24,0.0
115,AT_electrolyzer,2050,2,1,4,0.0
116,AT_electrolyzer,2050,2,5,8,0.0
117,AT_electrolyzer,2050,2,9,12,0.0
118,AT_electrolyzer,2050,2,13,16,0.0
119,AT_electrolyzer,2050,2,17,20,0.0
120,AT_electrolyzer,2050,2,21,24,0.0
121,AT_electrolyzer,2050,3,1,4,0.0
122,AT_electrolyzer,2050,3,5,8,0.0
123,AT_electrolyzer,2050,3,9,12,0.0
124,AT_electrolyzer,2050,3,13,16,0.0
125,AT_electrolyzer,2050,3,17,20,0.0
126,AT_electrolyzer,2050,3,21,24,0.0
127,BE_Battery,2050,1,1,1,0.0
128,BE_Battery,2050,1,2,2,0.0
129,BE_Battery,2050,1,3,3,0.0
130,BE_Battery,2050,1,4,4,0.0
131,BE_Battery,2050,1,5,5,0.0
132,BE_Battery,2050,1,6,6,0.0
133,BE_Battery,2050,1,7,7,0.0
134,BE_Battery,2050,1,8,8,0.0
135,BE_Battery,2050,1,9,9,0.0
136,BE_Battery,2050,1,10,10,0.0
137,BE_Battery,2050,1,11,11,0.0
138,BE_Battery,2050,1,12,12,0.0
139,BE_Battery,2050,1,13,13,0.0
140,BE_Battery,2050,1,14,14,0.0
141,BE_Battery,2050,1,15,15,0.0
142,BE_Battery,2050,1,16,16,0.0
143,BE_Battery,2050,1,17,17,0.0
144,BE_Battery,2050,1,18,18,0.0
145,BE_Battery,2050,1,19,19,0.0
146,BE_Battery,2050,1,20,20,0.0
147,BE_Battery,2050,1,21,21,-4113.638230370367
148,BE_Battery,2050,1,22,22,0.0
149,BE_Battery,2050,1,23,23,0.0
150,BE_Battery,2050,1,24,24,0.0
151,BE_Battery,2050,2,1,1,0.0
152,BE_Battery,2050,2,2,2,0.0
153,BE_Battery,2050,2,3,3,0.0
154,BE_Battery,2050,2,4,4,0.0
155,BE_Battery,2050,2,5,5,0.0
156,BE_Battery,2050,2,6,6,0.0
157,BE_Battery,2050,2,7,7,0.0
158,BE_Battery,2050,2,8,8,0.0
159,BE_Battery,2050,2,9,9,0.0
160,BE_Battery,2050,2,10,10,0.0
161,BE_Battery,2050,2,11,11,0.0
162,BE_Battery,2050,2,12,12,0.0
163,BE_Battery,2050,2,13,13,0.0
164,BE_Battery,2050,2,14,14,0.0
165,BE_Battery,2050,2,15,15,0.0
166,BE_Battery,2050,2,16,16,0.0
167,BE_Battery,2050,2,17,17,0.0
168,BE_Battery,2050,2,18,18,0.0
169,BE_Battery,2050,2,19,19,-0.0
170,BE_Battery,2050,2,20,20,0.0
171,BE_Battery,2050,2,21,21,0.0
172,BE_Battery,2050,2,22,22,0.0
173,BE_Battery,2050,2,23,23,0.0
174,BE_Battery,2050,2,24,24,0.0
175,BE_Battery,2050,3,1,1,0.0
176,BE_Battery,2050,3,2,2,0.0
177,BE_Battery,2050,3,3,3,0.0
178,BE_Battery,2050,3,4,4,0.0
179,BE_Battery,2050,3,5,5,0.0
180,BE_Battery,2050,3,6,6,0.0
181,BE_Battery,2050,3,7,7,-3105.53242778037
182,BE_Battery,2050,3,8,8,0.0
183,BE_Battery,2050,3,9,9,0.0
184,BE_Battery,2050,3,10,10,0.0
185,BE_Battery,2050,3,11,11,0.0
186,BE_Battery,2050,3,12,12,0.0
187,BE_Battery,2050,3,13,13,0.0
188,BE_Battery,2050,3,14,14,0.0
189,BE_Battery,2050,3,15,15,0.0
190,BE_Battery,2050,3,16,16,0.0
191,BE_Battery,2050,3,17,17,0.0
192,BE_Battery,2050,3,18,18,0.0
193,BE_Battery,2050,3,19,19,0.0
194,BE_Battery,2050,3,20,20,0.0
195,BE_Battery,2050,3,21,21,0.0
196,BE_Battery,2050,3,22,22,0.0
197,BE_Battery,2050,3,23,23,0.0
198,BE_Battery,2050,3,24,24,0.0
199,BE_E_ENS,2050,1,1,2,0.0
200,BE_E_ENS,2050,1,3,4,0.0
201,BE_E_ENS,2050,1,5,6,0.0
202,BE_E_ENS,2050,1,7,8,0.0
203,BE_E_ENS,2050,1,9,10,0.0
204,BE_E_ENS,2050,1,11,12,0.0
205,BE_E_ENS,2050,1,13,14,0.0
206,BE_E_ENS,2050,1,15,16,0.0
207,BE_E_ENS,2050,1,17,18,0.0
208,BE_E_ENS,2050,1,19,20,0.0
209,BE_E_ENS,2050,1,21,22,0.0
210,BE_E_ENS,2050,1,23,24,0.0
211,BE_E_ENS,2050,2,1,2,0.0
212,BE_E_ENS,2050,2,3,4,0.0
213,BE_E_ENS,2050,2,5,6,0.0
214,BE_E_ENS,2050,2,7,8,0.0
215,BE_E_ENS,2050,2,9,10,0.0
216,BE_E_ENS,2050,2,11,12,0.0
217,BE_E_ENS,2050,2,13,14,0.0
218,BE_E_ENS,2050,2,15,16,0.0
219,BE_E_ENS,2050,2,17,18,0.0
220,BE_E_ENS,2050,2,19,20,0.0
221,BE_E_ENS,2050,2,21,22,0.0
222,BE_E_ENS,2050,2,23,24,0.0
223,BE_E_ENS,2050,3,1,2,0.0
224,BE_E_ENS,2050,3,3,4,0.0
225,BE_E_ENS,2050,3,5,6,0.0
226,BE_E_ENS,2050,3,7,8,0.0
227,BE_E_ENS,2050,3,9,10,0.0
228,BE_E_ENS,2050,3,11,12,0.0
229,BE_E_ENS,2050,3,13,14,0.0
230,BE_E_ENS,2050,3,15,16,0.0
231,BE_E_ENS,2050,3,17,18,0.0
232,BE_E_ENS,2050,3,19,20,0.0
233,BE_E_ENS,2050,3,21,22,0.0
234,BE_E_ENS,2050,3,23,24,0.0
235,BE_Hydro,2050,1,1,2,-2252.7066499647235
236,BE_Hydro,2050,1,3,4,-2252.7066499647235
237,BE_Hydro,2050,1,5,6,-2252.7066499647235
238,BE_Hydro,2050,1,7,8,-2252.706649964724
239,BE_Hydro,2050,1,9,10,-0.0
240,BE_Hydro,2050,1,11,12,-0.0
241,BE_Hydro,2050,1,13,14,-0.0
242,BE_Hydro,2050,1,15,16,-0.0
243,BE_Hydro,2050,1,17,18,-0.0
244,BE_Hydro,2050,1,19,20,-2252.706649964724
245,BE_Hydro,2050,1,21,22,-6366.344880335091
246,BE_Hydro,2050,1,23,24,-2252.706649964724
247,BE_Hydro,2050,2,1,2,-8582.150432459508
248,BE_Hydro,2050,2,3,4,-8582.150432459508
249,BE_Hydro,2050,2,5,6,-8582.150432459508
250,BE_Hydro,2050,2,7,8,-8582.150432459508
251,BE_Hydro,2050,2,9,10,-8582.150432459508
252,BE_Hydro,2050,2,11,12,-7827.135748163883
253,BE_Hydro,2050,2,13,14,-7827.135748163883
254,BE_Hydro,2050,2,15,16,-7827.135748163883
255,BE_Hydro,2050,2,17,18,-8582.150432459508
256,BE_Hydro,2050,2,19,20,-8582.150432459508
257,BE_Hydro,2050,2,21,22,-8582.150432459508
258,BE_Hydro,2050,2,23,24,-8582.150432459508
259,BE_Hydro,2050,3,1,2,-8.952838470577262e-13
260,BE_Hydro,2050,3,3,4,-1.3642420526593924e-12
261,BE_Hydro,2050,3,5,6,-0.0
262,BE_Hydro,2050,3,7,8,-3105.532427780372
263,BE_Hydro,2050,3,9,10,-3.1942383340548895e-13
264,BE_Hydro,2050,3,11,12,-0.0
265,BE_Hydro,2050,3,13,14,-0.0
266,BE_Hydro,2050,3,15,16,-0.0
267,BE_Hydro,2050,3,17,18,-0.0
268,BE_Hydro,2050,3,19,20,-3105.5324277803734
269,BE_Hydro,2050,3,21,22,-3105.5324277803734
270,BE_Hydro,2050,3,23,24,-3105.532427780372
271,BE_OCGT,2050,1,1,2,0.0
272,BE_OCGT,2050,1,3,4,0.0
273,BE_OCGT,2050,1,5,6,0.0
274,BE_OCGT,2050,1,7,8,0.0
275,BE_OCGT,2050,1,9,10,0.0
276,BE_OCGT,2050,1,11,12,0.0
277,BE_OCGT,2050,1,13,14,0.0
278,BE_OCGT,2050,1,15,16,0.0
279,BE_OCGT,2050,1,17,18,0.0
280,BE_OCGT,2050,1,19,20,0.0
281,BE_OCGT,2050,1,21,22,0.0
282,BE_OCGT,2050,1,23,24,0.0
283,BE_OCGT,2050,2,1,2,0.0
284,BE_OCGT,2050,2,3,4,0.0
285,BE_OCGT,2050,2,5,6,0.0
286,BE_OCGT,2050,2,7,8,0.0
287,BE_OCGT,2050,2,9,10,0.0
288,BE_OCGT,2050,2,11,12,0.0
289,BE_OCGT,2050,2,13,14,0.0
290,BE_OCGT,2050,2,15,16,0.0
291,BE_OCGT,2050,2,17,18,0.0
292,BE_OCGT,2050,2,19,20,0.0
293,BE_OCGT,2050,2,21,22,0.0
294,BE_OCGT,2050,2,23,24,0.0
295,BE_OCGT,2050,3,1,2,0.0
296,BE_OCGT,2050,3,3,4,0.0
297,BE_OCGT,2050,3,5,6,0.0
298,BE_OCGT,2050,3,7,8,0.0
299,BE_OCGT,2050,3,9,10,0.0
300,BE_OCGT,2050,3,11,12,0.0
301,BE_OCGT,2050,3,13,14,0.0
302,BE_OCGT,2050,3,15,16,0.0
303,BE_OCGT,2050,3,17,18,0.0
304,BE_OCGT,2050,3,19,20,0.0
305,BE_OCGT,2050,3,21,22,0.0
306,BE_OCGT,2050,3,23,24,0.0
307,BE_Solar,2050,1,1,2,-2252.7066499647235
308,BE_Solar,2050,1,3,4,-2252.7066499647235
309,BE_Solar,2050,1,5,6,-2252.7066499647235
310,BE_Solar,2050,1,7,8,-2252.706649964724
311,BE_Solar,2050,1,9,10,-0.0
312,BE_Solar,2050,1,11,12,-0.0
313,BE_Solar,2050,1,13,14,-0.0
314,BE_Solar,2050,1,15,16,-0.0
315,BE_Solar,2050,1,17,18,-0.0
316,BE_Solar,2050,1,19,20,-2252.706649964724
317,BE_Solar,2050,1,21,22,-6366.344880335091
318,BE_Solar,2050,1,23,24,-2252.706649964724
319,BE_Solar,2050,2,1,2,-8582.150432459508
320,BE_Solar,2050,2,3,4,-8582.150432459508
321,BE_Solar,2050,2,5,6,-8582.150432459508
322,BE_Solar,2050,2,7,8,-8582.150432459508
323,BE_Solar,2050,2,9,10,-8582.150432459508
324,BE_Solar,2050,2,11,12,-7827.135748163883
325,BE_Solar,2050,2,13,14,-7827.135748163883
326,BE_Solar,2050,2,15,16,-7827.135748163883
327,BE_Solar,2050,2,17,18,-8582.150432459508
328,BE_Solar,2050,2,19,20,-8582.150432459508
329,BE_Solar,2050,2,21,22,-8582.150432459508
330,BE_Solar,2050,2,23,24,-8582.150432459508
331,BE_Solar,2050,3,1,2,-8.952838470577262e-13
