id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,hub,e_demand,2030,1,1,1,241,0.0,0.0
2,hub,e_demand,2030,1,2,2,242,0.0,0.0
3,hub,e_demand,2030,1,3,3,243,0.0,0.0
4,hub,e_demand,2030,1,4,4,244,0.0,0.0
5,hub,e_demand,2030,1,5,5,245,0.0,0.0
6,hub,e_demand,2030,1,6,6,246,0.0,0.0
7,hub,e_demand,2030,1,7,7,247,0.0,0.0
8,hub,e_demand,2030,1,8,8,248,0.0,0.0
9,hub,e_demand,2030,1,9,9,249,0.0,0.0
10,hub,e_demand,2030,1,10,10,250,0.0,0.0
11,hub,e_demand,2030,1,11,11,251,0.0,0.0
12,hub,e_demand,2030,1,12,12,252,0.0,0.0
13,hub,e_demand,2030,1,13,13,253,0.0,0.0
14,hub,e_demand,2030,1,14,14,254,0.0,0.0
15,hub,e_demand,2030,1,15,15,255,0.0,0.0
16,hub,e_demand,2030,1,16,16,256,0.0,0.0
17,hub,e_demand,2030,1,17,17,257,0.0,0.0
18,hub,e_demand,2030,1,18,18,258,0.0,0.0
19,hub,e_demand,2030,1,19,19,259,0.0,0.0
20,hub,e_demand,2030,1,20,20,260,0.0,0.0
21,hub,e_demand,2030,1,21,21,261,0.0,0.0
22,hub,e_demand,2030,1,22,22,262,0.0,0.0
23,hub,e_demand,2030,1,23,23,263,0.0,0.0
24,hub,e_demand,2030,1,24,24,264,0.0,0.0
25,hub,e_demand,2030,2,1,1,505,-3600.0,0.0
26,hub,e_demand,2030,2,2,2,506,-3600.0,0.0
27,hub,e_demand,2030,2,3,3,507,-3600.0,0.0
28,hub,e_demand,2030,2,4,4,508,-3600.0,0.0
29,hub,e_demand,2030,2,5,5,509,-3600.0,0.0
30,hub,e_demand,2030,2,6,6,510,-3600.0,0.0
31,hub,e_demand,2030,2,7,7,511,-3600.0,0.0
32,hub,e_demand,2030,2,8,8,512,-3600.0,0.0
33,hub,e_demand,2030,2,9,9,513,-3600.0,0.0
34,hub,e_demand,2030,2,10,10,514,-3600.0,0.0
35,hub,e_demand,2030,2,11,11,515,-3600.0,0.0
36,hub,e_demand,2030,2,12,12,516,-3600.0,0.0
37,hub,e_demand,2030,2,13,13,517,-3600.0,0.0
38,hub,e_demand,2030,2,14,14,518,-3600.0,0.0
39,hub,e_demand,2030,2,15,15,519,-3600.0,0.0
