id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution
135,CY_Battery,2050,2,9,12,0.0
136,CY_Battery,2050,2,13,16,0.3016891503664474
137,CY_Battery,2050,2,17,20,0.0
138,CY_Battery,2050,2,21,24,0.0
139,CY_Battery,2050,3,1,4,0.0
140,CY_Battery,2050,3,5,8,0.0
141,CY_Battery,2050,3,9,12,0.04491980772266224
142,CY_Battery,2050,3,13,16,0.0
143,CY_Battery,2050,3,17,20,0.0
144,CY_Battery,2050,3,21,24,0.0
145,CZ_Battery,2050,1,1,4,0.0
146,CZ_Battery,2050,1,5,8,0.0
147,CZ_Battery,2050,1,9,12,8.549780711226303
148,CZ_Battery,2050,1,13,16,10.83
149,CZ_Battery,2050,1,17,20,8.37547638727159
150,CZ_Battery,2050,1,21,24,0.0
151,CZ_Battery,2050,2,1,4,6.3736424704238965
152,CZ_Battery,2050,2,5,8,0.0
153,CZ_Battery,2050,2,9,12,0.0
154,CZ_Battery,2050,2,13,16,10.83
155,CZ_Battery,2050,2,17,20,4.408624225787812
156,CZ_Battery,2050,2,21,24,5.888488619049132
157,CZ_Battery,2050,3,1,4,1.8918516565561418
158,CZ_Battery,2050,3,5,8,0.0
159,CZ_Battery,2050,3,9,12,6.350442452589901
160,CZ_Battery,2050,3,13,16,10.83
161,CZ_Battery,2050,3,17,20,0.0
162,CZ_Battery,2050,3,21,24,10.83
163,DE_Battery,2050,1,1,1,0.0
164,DE_Battery,2050,1,2,2,0.0
165,DE_Battery,2050,1,3,3,0.0
166,DE_Battery,2050,1,4,4,0.0
167,DE_Battery,2050,1,5,5,0.0
168,DE_Battery,2050,1,6,6,0.0
169,DE_Battery,2050,1,7,7,0.0
170,DE_Battery,2050,1,8,8,0.0
171,DE_Battery,2050,1,9,9,0.0
172,DE_Battery,2050,1,10,10,0.0
173,DE_Battery,2050,1,11,11,0.0
174,DE_Battery,2050,1,12,12,0.0
175,DE_Battery,2050,1,13,13,0.0
176,DE_Battery,2050,1,14,14,0.0
177,DE_Battery,2050,1,15,15,0.0
178,DE_Battery,2050,1,16,16,0.0
179,DE_Battery,2050,1,17,17,0.0
180,DE_Battery,2050,1,18,18,17.363342698411216
181,DE_Battery,2050,1,19,19,23.92740483871058
182,DE_Battery,2050,1,20,20,9.68244304291785
183,DE_Battery,2050,1,21,21,0.0
184,DE_Battery,2050,1,22,22,0.0
185,DE_Battery,2050,1,23,23,0.0
186,DE_Battery,2050,1,24,24,0.0
187,DE_Battery,2050,2,1,1,188.61443794566975
188,DE_Battery,2050,2,2,2,172.73416847770486
189,DE_Battery,2050,2,3,3,147.90575545821923
190,DE_Battery,2050,2,4,4,119.14120045512774
191,DE_Battery,2050,2,5,5,82.56741922898294
192,DE_Battery,2050,2,6,6,45.45520463028551
193,DE_Battery,2050,2,7,7,10.908008219278486
194,DE_Battery,2050,2,8,8,0.0
195,DE_Battery,2050,2,9,9,0.0
196,DE_Battery,2050,2,10,10,0.0
197,DE_Battery,2050,2,11,11,0.0
198,DE_Battery,2050,2,12,12,0.0
199,DE_Battery,2050,2,13,13,73.07243034416791
200,DE_Battery,2050,2,14,14,171.7275756138638
201,DE_Battery,2050,2,15,15,266.70952374663045
202,DE_Battery,2050,2,16,16,317.2005793629173
203,DE_Battery,2050,2,17,17,333.291
204,DE_Battery,2050,2,18,18,333.291
205,DE_Battery,2050,2,19,19,286.99832033366584
206,DE_Battery,2050,2,20,20,235.78068999492967
207,DE_Battery,2050,2,21,21,209.85317543235578
208,DE_Battery,2050,2,22,22,192.06092164143143
209,DE_Battery,2050,2,23,23,194.25780494463226
210,DE_Battery,2050,2,24,24,197.53562813343893
211,DE_Battery,2050,3,1,1,0.0
212,DE_Battery,2050,3,2,2,0.0
213,DE_Battery,2050,3,3,3,0.0
214,DE_Battery,2050,3,4,4,0.0
215,DE_Battery,2050,3,5,5,0.0
216,DE_Battery,2050,3,6,6,0.0
217,DE_Battery,2050,3,7,7,0.0
218,DE_Battery,2050,3,8,8,0.0
219,DE_Battery,2050,3,9,9,0.0
220,DE_Battery,2050,3,10,10,0.0
221,DE_Battery,2050,3,11,11,0.0
222,DE_Battery,2050,3,12,12,0.0
223,DE_Battery,2050,3,13,13,0.0
224,DE_Battery,2050,3,14,14,0.0
225,DE_Battery,2050,3,15,15,0.0
226,DE_Battery,2050,3,16,16,0.0
227,DE_Battery,2050,3,17,17,0.0
228,DE_Battery,2050,3,18,18,0.0
229,DE_Battery,2050,3,19,19,0.0
230,DE_Battery,2050,3,20,20,0.0
231,DE_Battery,2050,3,21,21,0.0
232,DE_Battery,2050,3,22,22,0.0
233,DE_Battery,2050,3,23,23,0.0
234,DE_Battery,2050,3,24,24,0.0
235,DK_Battery,2050,1,1,1,-0.0
236,DK_Battery,2050,1,2,2,-0.0
237,DK_Battery,2050,1,3,3,-0.0
238,DK_Battery,2050,1,4,4,-0.0
239,DK_Battery,2050,1,5,5,-0.0
240,DK_Battery,2050,1,6,6,-0.0
241,DK_Battery,2050,1,7,7,-0.0
242,DK_Battery,2050,1,8,8,-0.0
243,DK_Battery,2050,1,9,9,-0.0
244,DK_Battery,2050,1,10,10,-0.0
245,DK_Battery,2050,1,11,11,-0.0
246,DK_Battery,2050,1,12,12,-0.0
247,DK_Battery,2050,1,13,13,-0.0
248,DK_Battery,2050,1,14,14,-0.0
249,DK_Battery,2050,1,15,15,-0.0
250,DK_Battery,2050,1,16,16,-0.0
251,DK_Battery,2050,1,17,17,-0.0
252,DK_Battery,2050,1,18,18,-0.0
253,DK_Battery,2050,1,19,19,-0.0
254,DK_Battery,2050,1,20,20,-0.0
255,DK_Battery,2050,1,21,21,-0.0
256,DK_Battery,2050,1,22,22,-0.0
257,DK_Battery,2050,1,23,23,-0.0
258,DK_Battery,2050,1,24,24,0.0
259,DK_Battery,2050,2,1,1,-0.0
260,DK_Battery,2050,2,2,2,-0.0
261,DK_Battery,2050,2,3,3,-0.0
262,DK_Battery,2050,2,4,4,-0.0
263,DK_Battery,2050,2,5,5,-0.0
264,DK_Battery,2050,2,6,6,-0.0
265,DK_Battery,2050,2,7,7,-0.0
266,DK_Battery,2050,2,8,8,-0.0
267,DK_Battery,2050,2,9,9,-0.0
268,DK_Battery,2050,2,10,10,0.0
269,DK_Battery,2050,2,11,11,-0.0
270,DK_Battery,2050,2,12,12,-0.0
271,DK_Battery,2050,2,13,13,-0.0
272,DK_Battery,2050,2,14,14,-0.0
273,DK_Battery,2050,2,15,15,-0.0
274,DK_Battery,2050,2,16,16,-0.0
275,DK_Battery,2050,2,17,17,-0.0
276,DK_Battery,2050,2,18,18,-0.0
277,DK_Battery,2050,2,19,19,-0.0
278,DK_Battery,2050,2,20,20,-0.0
279,DK_Battery,2050,2,21,21,-0.0
280,DK_Battery,2050,2,22,22,-0.0
281,DK_Battery,2050,2,23,23,-0.0
282,DK_Battery,2050,2,24,24,-0.0
283,DK_Battery,2050,3,1,1,-0.0
284,DK_Battery,2050,3,2,2,-0.0
285,DK_Battery,2050,3,3,3,-0.0
286,DK_Battery,2050,3,4,4,-0.0
287,DK_Battery,2050,3,5,5,-0.0
288,DK_Battery,2050,3,6,6,-0.0
289,DK_Battery,2050,3,7,7,-0.0
290,DK_Battery,2050,3,8,8,-0.0
291,DK_Battery,2050,3,9,9,-0.0
292,DK_Battery,2050,3,10,10,-0.0
293,DK_Battery,2050,3,11,11,-0.0
294,DK_Battery,2050,3,12,12,-0.0
295,DK_Battery,2050,3,13,13,-0.0
296,DK_Battery,2050,3,14,14,-0.0
297,DK_Battery,2050,3,15,15,-0.0
298,DK_Battery,2050,3,16,16,-0.0
299,DK_Battery,2050,3,17,17,-0.0
300,DK_Battery,2050,3,18,18,-0.0
301,DK_Battery,2050,3,19,19,0.0
302,DK_Battery,2050,3,20,20,-0.0
303,DK_Battery,2050,3,21,21,-0.0
304,DK_Battery,2050,3,22,22,-0.0
305,DK_Battery,2050,3,23,23,-0.0
306,DK_Battery,2050,3,24,24,-0.0
307,ES_Battery,2050,1,1,3,0.0
308,ES_Battery,2050,1,4,6,0.0
309,ES_Battery,2050,1,7,9,0.0
310,ES_Battery,2050,1,10,12,0.0
311,ES_Battery,2050,1,13,15,0.0
312,ES_Battery,2050,1,16,18,0.0
313,ES_Battery,2050,1,19,21,4.608551510735674
314,ES_Battery,2050,1,22,24,0.0
315,ES_Battery,2050,2,1,3,37.652935728512404
316,ES_Battery,2050,2,4,6,15.726195395319614
317,ES_Battery,2050,2,7,9,0.0
318,ES_Battery,2050,2,10,12,0.0
319,ES_Battery,2050,2,13,15,0.0
320,ES_Battery,2050,2,16,18,96.0
321,ES_Battery,2050,2,19,21,66.03771382041339
322,ES_Battery,2050,2,22,24,55.257615597160985
323,ES_Battery,2050,3,1,3,0.5841207009649192
324,ES_Battery,2050,3,4,6,0.0
325,ES_Battery,2050,3,7,9,0.0
326,ES_Battery,2050,3,10,12,0.0
327,ES_Battery,2050,3,13,15,14.442526148086003
328,ES_Battery,2050,3,16,18,96.0
329,ES_Battery,2050,3,19,21,34.66750057670348
330,ES_Battery,2050,3,22,24,0.0
331,FI_Battery,2050,1,1,4,0.0
332,FI_Battery,2050,1,5,8,0.0
333,FI_Battery,2050,1,9,12,0.0
334,FI_Battery,2050,1,13,16,0.0
335,FI_Battery,2050,1,17,20,0.0
336,FI_Battery,2050,1,21,24,0.0
337,FI_Battery,2050,2,1,4,0.0
338,FI_Battery,2050,2,5,8,0.0
339,FI_Battery,2050,2,9,12,0.0
340,FI_Battery,2050,2,13,16,0.0
341,FI_Battery,2050,2,17,20,0.0
342,FI_Battery,2050,2,21,24,0.0
343,FI_Battery,2050,3,1,4,0.0
344,FI_Battery,2050,3,5,8,0.0
345,FI_Battery,2050,3,9,12,0.0
346,FI_Battery,2050,3,13,16,0.0
347,FI_Battery,2050,3,17,20,0.0
348,FI_Battery,2050,3,21,24,0.0
349,FR_Battery,2050,1,1,2,-0.0
350,FR_Battery,2050,1,3,4,-0.0
351,FR_Battery,2050,1,5,6,-0.0
352,FR_Battery,2050,1,7,8,-0.0
353,FR_Battery,2050,1,9,10,-0.0
354,FR_Battery,2050,1,11,12,-0.0
355,FR_Battery,2050,1,13,14,0.0
356,FR_Battery,2050,1,15,16,-0.0
357,FR_Battery,2050,1,17,18,-0.0
358,FR_Battery,2050,1,19,20,-0.0
359,FR_Battery,2050,1,21,22,-0.0
360,FR_Battery,2050,1,23,24,-0.0
361,FR_Battery,2050,2,1,2,-0.0
362,FR_Battery,2050,2,3,4,-0.0
363,FR_Battery,2050,2,5,6,-0.0
364,FR_Battery,2050,2,7,8,-0.0
365,FR_Battery,2050,2,9,10,-0.0
366,FR_Battery,2050,2,11,12,-0.0
367,FR_Battery,2050,2,13,14,-0.0
368,FR_Battery,2050,2,15,16,-0.0
369,FR_Battery,2050,2,17,18,0.0
370,FR_Battery,2050,2,19,20,-0.0
371,FR_Battery,2050,2,21,22,-0.0
372,FR_Battery,2050,2,23,24,-0.0
373,FR_Battery,2050,3,1,2,-0.0
374,FR_Battery,2050,3,3,4,-0.0
375,FR_Battery,2050,3,5,6,-0.0
376,FR_Battery,2050,3,7,8,-0.0
377,FR_Battery,2050,3,9,10,-0.0
378,FR_Battery,2050,3,11,12,-0.0
379,FR_Battery,2050,3,13,14,-0.0
380,FR_Battery,2050,3,15,16,-0.0
381,FR_Battery,2050,3,17,18,-0.0
382,FR_Battery,2050,3,19,20,0.0
383,FR_Battery,2050,3,21,22,-0.0
384,FR_Battery,2050,3,23,24,-0.0
385,GR_Battery,2050,1,1,4,0.0
386,GR_Battery,2050,1,5,8,0.0
387,GR_Battery,2050,1,9,12,0.0
388,GR_Battery,2050,1,13,16,0.0
389,GR_Battery,2050,1,17,20,0.24961252441240545
390,GR_Battery,2050,1,21,24,0.0
391,GR_Battery,2050,2,1,4,1.3075821441763935
392,GR_Battery,2050,2,5,8,0.0
393,GR_Battery,2050,2,9,12,0.0
394,GR_Battery,2050,2,13,16,30.2892899633699
395,GR_Battery,2050,2,17,20,19.779416620103824
396,GR_Battery,2050,2,21,24,9.273068000002757
397,GR_Battery,2050,3,1,4,0.0
398,GR_Battery,2050,3,5,8,0.0
399,GR_Battery,2050,3,9,12,0.0
400,GR_Battery,2050,3,13,16,0.0
401,GR_Battery,2050,3,17,20,0.0
402,GR_Battery,2050,3,21,24,0.0
403,HR_Battery,2050,1,1,4,0.0
404,HR_Battery,2050,1,5,8,0.0
405,HR_Battery,2050,1,9,12,0.0
406,HR_Battery,2050,1,13,16,0.0
407,HR_Battery,2050,1,17,20,1.095
408,HR_Battery,2050,1,21,24,0.0
409,HR_Battery,2050,2,1,4,1.095
410,HR_Battery,2050,2,5,8,0.0
411,HR_Battery,2050,2,9,12,0.0
412,HR_Battery,2050,2,13,16,1.095
413,HR_Battery,2050,2,17,20,1.095
414,HR_Battery,2050,2,21,24,1.095
415,HR_Battery,2050,3,1,4,0.0
416,HR_Battery,2050,3,5,8,0.0
417,HR_Battery,2050,3,9,12,0.0
418,HR_Battery,2050,3,13,16,0.0
419,HR_Battery,2050,3,17,20,0.0
420,HR_Battery,2050,3,21,24,0.0
421,HU_Battery,2050,1,1,4,0.0
422,HU_Battery,2050,1,5,8,0.0
423,HU_Battery,2050,1,9,12,0.0
424,HU_Battery,2050,1,13,16,2.862
425,HU_Battery,2050,1,17,20,0.0
426,HU_Battery,2050,1,21,24,2.862
427,HU_Battery,2050,2,1,4,0.0
428,HU_Battery,2050,2,5,8,0.0
429,HU_Battery,2050,2,9,12,2.862
430,HU_Battery,2050,2,13,16,2.862
431,HU_Battery,2050,2,17,20,0.0
432,HU_Battery,2050,2,21,24,0.5669185669782113
433,HU_Battery,2050,3,1,4,0.0
434,HU_Battery,2050,3,5,8,0.0
435,HU_Battery,2050,3,9,12,0.0
436,HU_Battery,2050,3,13,16,2.862
437,HU_Battery,2050,3,17,20,0.0
438,HU_Battery,2050,3,21,24,0.0
439,IE_Battery,2050,1,1,2,0.0
440,IE_Battery,2050,1,3,4,0.0
441,IE_Battery,2050,1,5,6,0.0
442,IE_Battery,2050,1,7,8,0.0
443,IE_Battery,2050,1,9,10,0.0
444,IE_Battery,2050,1,11,12,9.02623680065254
445,IE_Battery,2050,1,13,14,25.69508190046922
446,IE_Battery,2050,1,15,16,0.0
447,IE_Battery,2050,1,17,18,0.0
448,IE_Battery,2050,1,19,20,0.0
449,IE_Battery,2050,1,21,22,0.0
450,IE_Battery,2050,1,23,24,0.0
451,IE_Battery,2050,2,1,2,0.0
452,IE_Battery,2050,2,3,4,0.0
453,IE_Battery,2050,2,5,6,0.0
454,IE_Battery,2050,2,7,8,0.0
455,IE_Battery,2050,2,9,10,0.0
456,IE_Battery,2050,2,11,12,0.0
457,IE_Battery,2050,2,13,14,20.478011549258113
458,IE_Battery,2050,2,15,16,0.0
459,IE_Battery,2050,2,17,18,0.0
460,IE_Battery,2050,2,19,20,0.0
461,IE_Battery,2050,2,21,22,0.0
462,IE_Battery,2050,2,23,24,0.0
463,IE_Battery,2050,3,1,2,0.0
