rep_period,timestep,milestone_year,profile_name,value
3,6,2030,availability-solar,0.0
3,7,2030,availability-solar,0.0
3,8,2030,availability-solar,0.0
3,9,2030,availability-solar,0.0
3,10,2030,availability-solar,0.0
3,11,2030,availability-solar,0.118081493
3,12,2030,availability-solar,0.222641838
3,13,2030,availability-solar,0.299086488
3,14,2030,availability-solar,0.303101716
3,15,2030,availability-solar,0.224862178
3,16,2030,availability-solar,0.111312563
3,17,2030,availability-solar,0.0
3,18,2030,availability-solar,0.0
3,19,2030,availability-solar,0.0
3,20,2030,availability-solar,0.0
3,21,2030,availability-solar,0.0
3,22,2030,availability-solar,0.0
3,23,2030,availability-solar,0.0
3,24,2030,availability-solar,0.0
3,1,2030,availability-wind,0.042796609
3,2,2030,availability-wind,0.036919127
3,3,2030,availability-wind,0.019192706
3,4,2030,availability-wind,0.001163871
3,5,2030,availability-wind,0.011165111
3,6,2030,availability-wind,0.002585741
3,7,2030,availability-wind,0.009737404
3,8,2030,availability-wind,0.018536908
3,9,2030,availability-wind,0.032315992
3,10,2030,availability-wind,0.058488558
3,11,2030,availability-wind,0.103416799
3,12,2030,availability-wind,0.133293406
3,13,2030,availability-wind,0.201651743
3,14,2030,availability-wind,0.213479396
3,15,2030,availability-wind,0.262104215
3,16,2030,availability-wind,0.308473925
3,17,2030,availability-wind,0.391636971
3,18,2030,availability-wind,0.56969968
3,19,2030,availability-wind,0.759283041
3,20,2030,availability-wind,0.890405935
3,21,2030,availability-wind,0.923291337
3,22,2030,availability-wind,0.947742336
3,23,2030,availability-wind,0.957272485
3,24,2030,availability-wind,0.955183697
3,1,2030,demand-demand,0.659051255
3,2,2030,demand-demand,0.644130521
3,3,2030,demand-demand,0.636628619
3,4,2030,demand-demand,0.63208382
3,5,2030,demand-demand,0.631735038
3,6,2030,demand-demand,0.638589193
3,7,2030,demand-demand,0.6811899
3,8,2030,demand-demand,0.724363957
3,9,2030,demand-demand,0.752452236
3,10,2030,demand-demand,0.757009237
3,11,2030,demand-demand,0.751758848
3,12,2030,demand-demand,0.751864926
3,13,2030,demand-demand,0.752005139
3,14,2030,demand-demand,0.753299269
3,15,2030,demand-demand,0.763954572
3,16,2030,demand-demand,0.791164147
3,17,2030,demand-demand,0.829187747
3,18,2030,demand-demand,0.820302421
3,19,2030,demand-demand,0.803516915
3,20,2030,demand-demand,0.781209504
3,21,2030,demand-demand,0.753381056
3,22,2030,demand-demand,0.723652707
3,23,2030,demand-demand,0.693455402
3,24,2030,demand-demand,0.6660379
4,1,2030,availability-solar,0.0
4,2,2030,availability-solar,0.0
4,3,2030,availability-solar,0.0
4,4,2030,availability-solar,0.0
4,5,2030,availability-solar,0.0
4,6,2030,availability-solar,0.003722744
4,7,2030,availability-solar,0.043595378
4,8,2030,availability-solar,0.139240697
4,9,2030,availability-solar,0.241858225
4,10,2030,availability-solar,0.288582444
4,11,2030,availability-solar,0.327480205
4,12,2030,availability-solar,0.363296703
4,13,2030,availability-solar,0.40039232
4,14,2030,availability-solar,0.426884849
4,15,2030,availability-solar,0.39609482
4,16,2030,availability-solar,0.376778719
4,17,2030,availability-solar,0.349676709
4,18,2030,availability-solar,0.26394934
4,19,2030,availability-solar,0.154260467
4,20,2030,availability-solar,0.052839127
4,21,2030,availability-solar,0.00794418
4,22,2030,availability-solar,0.0
4,23,2030,availability-solar,0.0
4,24,2030,availability-solar,0.0
4,1,2030,availability-wind,0.979193674
4,2,2030,availability-wind,0.979098315
4,3,2030,availability-wind,0.978845346
4,4,2030,availability-wind,0.976653453
4,5,2030,availability-wind,0.977319665
4,6,2030,availability-wind,0.97729427
4,7,2030,availability-wind,0.976862724
4,8,2030,availability-wind,0.961663457
4,9,2030,availability-wind,0.927760847
4,10,2030,availability-wind,0.895291311
4,11,2030,availability-wind,0.780892846
4,12,2030,availability-wind,0.708876741
4,13,2030,availability-wind,0.641741114
4,14,2030,availability-wind,0.578266892
4,15,2030,availability-wind,0.472960298
4,16,2030,availability-wind,0.333910826
4,17,2030,availability-wind,0.215532735
4,18,2030,availability-wind,0.162156249
4,19,2030,availability-wind,0.122788717
4,20,2030,availability-wind,0.080736462
4,21,2030,availability-wind,0.049857568
4,22,2030,availability-wind,0.053715215
4,23,2030,availability-wind,0.064030994
4,24,2030,availability-wind,0.05692478
4,1,2030,demand-demand,0.480313343
4,2,2030,demand-demand,0.471262774
4,3,2030,demand-demand,0.466014748
4,4,2030,demand-demand,0.459989865
4,5,2030,demand-demand,0.468675046
4,6,2030,demand-demand,0.471857186
4,7,2030,demand-demand,0.473052368
4,8,2030,demand-demand,0.485611064
4,9,2030,demand-demand,0.500264308
4,10,2030,demand-demand,0.511500129
4,11,2030,demand-demand,0.514720708
4,12,2030,demand-demand,0.516082254
4,13,2030,demand-demand,0.506220852
4,14,2030,demand-demand,0.509451069
4,15,2030,demand-demand,0.517658598
4,16,2030,demand-demand,0.5399192
4,17,2030,demand-demand,0.547614908
4,18,2030,demand-demand,0.560255065
4,19,2030,demand-demand,0.559689413
4,20,2030,demand-demand,0.55484598
4,21,2030,demand-demand,0.55416468
4,22,2030,demand-demand,0.533527248
4,23,2030,demand-demand,0.503228175
4,24,2030,demand-demand,0.484605391
